,,,,,
County Name,Precinct Name,Precinct Code,Total Voters,Hillary Clinton (D),Donald J. Trump (R)
Ashland,ASHLAND CITY 2-D,AAJ,729,195,462
Ashland,ASHLAND CITY 3-A,AAQ,508,161,301
Ashland,ASHLAND CITY 3-B,AAS,766,244,458
Ashland,ASHLAND CITY 3-C,AAU,673,196,424
Ashland,ASHLAND CITY 3-D,AAV,318,101,194
Ashland,ASHLAND CITY 4-A,AAZ,492,128,317
Ashland,ASHLAND CITY 4-B,ABB,337,105,201
Ashland,ASHLAND CITY 4-C,ABC,343,95,219
Ashland,ASHLAND CITY 4-D,ABD,209,52,143
Ashland,CLEAR CREEK 1,ABG,416,68,319
Ashland,GREEN 1,ABI,765,183,531
Ashland,GREEN 2,ABJ,431,83,316
Ashland,HANOVER,ABN,468,117,314
Ashland,LOUDONVILLE 1,ABO,923,240,610
Ashland,LOUDONVILLE 2,ABP,353,98,231
Ashland,JACKSON 1,ABS,727,197,474
Ashland,JACKSON 2,ABT,932,181,704
Ashland,LAKE,ABV,327,68,224
Ashland,MILTON 1,ABZ,849,153,648
Ashland,MILTON 3,ACA,405,65,321
Ashland,JEROMESVILLE,ACB,230,62,154
Ashland,MOHICAN,ACC,806,146,587
Ashland,MONTGOMERY 1,ACE,529,96,400
Ashland,MONTGOMERY 2,ACF,669,126,486
Ashland,MONTGOMERY 3,ACH,416,60,329
Ashland,ORANGE 1,ACI,803,167,585
Ashland,ORANGE 2,ACJ,466,81,349
Ashland,PERRY,ACM,959,170,743
Ashland,RUGGLES,ACN,461,93,342
Ashland,SULLIVAN 1,ACO,601,115,453
Ashland,SULLIVAN 2,ACP,483,120,331
Ashland,TROY,ACQ,600,110,443
Ashland,VERMILLION 1,ACS,639,131,470
Ashland,VERMILLION 2,ACT,407,71,306
Ashland,VERMILLION 3,ACU,427,62,328
Ashland,MIFFLIN,ACV,699,131,527
Ashland,CLEAR CREEK 2,ACX,548,83,429
Ashtabula,PRECINCT ASHTABULA 1-A,AAA,581,296,244
Ashtabula,PRECINCT ASHTABULA 1-B,AAB,461,225,202
Ashtabula,PRECINCT ASHTABULA 1-C,AAC,414,238,145
Ashtabula,PRECINCT ASHTABULA 1-D,AAE,330,176,136
Ashtabula,PRECINCT ASHTABULA 2-A,AAH,481,255,188
Ashtabula,PRECINCT ASHTABULA 2-B,AAI,461,250,176
Ashtabula,PRECINCT ASHTABULA 2-C,AAJ,265,137,109
Ashtabula,PRECINCT ASHTABULA 2-D,AAM,211,128,67
Ashtabula,PRECINCT ASHTABULA 3-A,AAN,136,83,41
Ashtabula,PRECINCT ASHTABULA 3-B,AAO,228,127,76
Ashtabula,PRECINCT ASHTABULA 3-C,AAP,212,115,82
Ashtabula,PRECINCT ASHTABULA 3-D,AAQ,219,165,39
Ashtabula,PRECINCT ASHTABULA 4-A,AAR,191,105,68
Ashtabula,PRECINCT ASHTABULA 4-B,AAS,203,115,68
Ashtabula,PRECINCT ASHTABULA 4-C,AAT,250,109,117
Ashtabula,PRECINCT ASHTABULA 4-D,AAU,521,248,227
Ashtabula,PRECINCT ASHTABULA 5-A,AAW,160,79,74
Ashtabula,PRECINCT ASHTABULA 5-B,AAX,159,84,59
Ashtabula,PRECINCT ASHTABULA 5-C,AAY,395,196,177
Ashtabula,PRECINCT ASHTABULA 5-D,ABA,272,152,102
Ashtabula,PRECINCT CONNEAUT 1-A,ABB,245,111,125
Ashtabula,PRECINCT CONNEAUT 1-B,ABC,228,74,142
Ashtabula,PRECINCT CONNEAUT 1-C,ABD,446,164,228
Ashtabula,PRECINCT CONNEAUT 2-A,ABF,474,228,205
Ashtabula,PRECINCT CONNEAUT 2-B,ABG,563,265,260
Ashtabula,PRECINCT CONNEAUT 2-C,ABI,457,170,258
Ashtabula,PRECINCT CONNEAUT 3-A,ABJ,265,114,133
Ashtabula,PRECINCT CONNEAUT 3-B,ABK,360,159,178
Ashtabula,PRECINCT CONNEAUT 3-C,ABL,339,163,156
Ashtabula,PRECINCT CONNEAUT 3-D,ABM,333,144,169
Ashtabula,PRECINCT CONNEAUT 4-A,ABN,242,101,112
Ashtabula,PRECINCT CONNEAUT 4-B,ABO,430,225,168
Ashtabula,PRECINCT CONNEAUT 4-C,ABQ,194,92,91
Ashtabula,PRECINCT GENEVA 1,ABR,340,137,184
Ashtabula,PRECINCT GENEVA 2,ABS,619,255,298
Ashtabula,PRECINCT GENEVA 3,ABT,305,125,144
Ashtabula,PRECINCT GENEVA 4,ABV,276,91,162
Ashtabula,PRECINCT GENEVA 5,ABW,245,102,123
Ashtabula,PRECINCT GENEVA 6,ABX,379,163,189
Ashtabula,PRECINCT GENEVA 7,ABY,379,160,189
Ashtabula,PRECINCT ANDOVER TWP. 1,ABZ,429,129,277
Ashtabula,PRECINCT ANDOVER TWP. 2,ACA,362,80,252
Ashtabula,PRECINCT ANDOVER VILLAGE,ACB,388,126,239
Ashtabula,PRECINCT ASHTABULA TWP. 1,ACD,356,157,177
Ashtabula,PRECINCT ASHTABULA TWP. 2,ACG,549,222,288
Ashtabula,PRECINCT ASHTABULA TWP. 3,ACH,246,118,117
Ashtabula,PRECINCT ASHTABULA TWP. 4,ACI,535,255,237
Ashtabula,PRECINCT ASHTABULA TWP. 5,ACJ,407,170,200
Ashtabula,PRECINCT ASHTABULA TWP. 6,ACM,358,129,213
Ashtabula,PRECINCT AUSTINBURG TWP. 1,ACO,608,173,410
Ashtabula,PRECINCT AUSTINBURG TWP. 2,ACP,625,225,370
Ashtabula,PRECINCT CHERRY VALLEY,ACQ,364,83,266
Ashtabula,PRECINCT COLEBROOK TWP.,ACR,379,93,259
Ashtabula,PRECINCT DENMARK TWP.,ACS,360,114,232
Ashtabula,PRECINCT DORSET TWP.,ACT,363,92,250
Ashtabula,PRECINCT GENEVA TWP. 1,ACU,720,241,421
Ashtabula,PRECINCT GENEVA TWP. 2,ACW,386,133,229
Ashtabula,PRECINCT GENEVA TWP. 3,ACX,278,89,169
Ashtabula,PRECINCT GEN ON LAKE VILL,ACY,463,186,242
Ashtabula,PRECINCT HARPERSFLD TWP 1,ADA,441,128,280
Ashtabula,PRECINCT HARPERSFLD TWP 2,ADB,573,177,361
Ashtabula,PRECINCT HARPERSFLD TWP 3,ADC,432,149,258
Ashtabula,PRECINCT HARTSGROVE TWP,ADD,693,156,498
Ashtabula,PRECINCT JEFFERSON TWP. 1,ADF,373,104,236
Ashtabula,PRECINCT JEFFERSON TWP. 2,ADG,306,71,221
Ashtabula,PRECINCT JEFFERSON TWP 3,ADH,384,89,270
Ashtabula,PRECINCT JEFF VILL 1,ADI,327,100,201
Ashtabula,PRECINCT JEFF VILL 2,ADJ,674,241,375
Ashtabula,PRECINCT JEFF VILL 3,ADL,430,153,257
Ashtabula,PRECINCT KINGSVILLE TWP. 1,ADM,435,152,262
Ashtabula,PRECINCT KINGSVILLE TWP. 2,ADN,431,151,256
Ashtabula,PRECINCT LENOX TWP. 1,ADO,357,74,258
Ashtabula,PRECINCT LENOX TWP. 2,ADP,339,98,214
Ashtabula,PRECINCT MONROE TWP. 1,ADQ,513,139,348
Ashtabula,PRECINCT MONROE TWP. 2,ADR,494,138,324
Ashtabula,PRECINCT ROCK CREEK VILLAGE,ADS,214,71,129
Ashtabula,PRECINCT MORGAN TWP.,ADT,437,114,302
Ashtabula,PRECINCT NEW LYME TWP.,ADU,488,149,312
Ashtabula,PRECINCT N KINGS VILL 1,ADV,541,232,279
Ashtabula,PRECINCT N KINGS VILL 2,ADW,679,225,391
Ashtabula,PRECINCT N KINGS VILL 3,ADX,246,87,140
Ashtabula,PRECINCT ORWELL TWP.,ADZ,509,129,327
Ashtabula,PRECINCT ORWELL VILLAGE,AEA,607,195,349
Ashtabula,PRECINCT PIERPONT TWP.,AEB,490,126,341
Ashtabula,PRECINCT PLYMOUTH TWP. 1,AEC,407,149,233
Ashtabula,PRECINCT PLYMOUTH TWP. 2,AED,705,255,405
Ashtabula,PRECINCT RICHMOND TWP.,AEF,370,92,253
Ashtabula,PRECINCT ROME TWP.,AEG,425,101,294
Ashtabula,PRECINCT SAYBROOK TWP. 1,AEH,324,94,203
Ashtabula,PRECINCT SAYBROOK TWP. 2,AEI,376,159,191
Ashtabula,PRECINCT SAYBROOK TWP. 3,AEJ,402,181,196
Ashtabula,PRECINCT SAYBROOK TWP. 4,AEK,417,165,224
Ashtabula,PRECINCT SAYBROOK TWP. 5,AEL,488,225,233
Ashtabula,PRECINCT SAYBROOK TWP. 6,AEM,575,275,266
Ashtabula,PRECINCT SAYBROOK TWP. 7,AEO,330,117,188
Ashtabula,PRECINCT SAYBROOK TWP. 8,AEP,299,117,166
Ashtabula,PRECINCT SHEFFIELD TWP. 1,AEQ,333,102,211
Ashtabula,PRECINCT SHEFFIELD TWP. 2,AER,438,113,294
Ashtabula,PRECINCT TRUMBULL TWP.,AES,735,180,520
Ashtabula,PRECINCT WAYNE TWP.,AEU,262,74,164
Ashtabula,PRECINCT WMSFLD TWP 1,AEV,269,64,197
Ashtabula,PRECINCT WMSFLD TWP 2,AEW,356,88,241
Ashtabula,PRECINCT WINDSOR TWP.,AEX,630,180,402
Ashtabula,PRECINCT ROAMING SHORES VILLAGE,AEZ,798,257,489
Athens,ATHENS 1-1,AAA,851,638,138
Athens,ATHENS 1-2,AAB,440,340,48
Athens,ATHENS 1-3,AAD,683,493,128
Athens,ATHENS 1-4,AAE,834,439,329
Athens,ATHENS 1-5,AAF,247,148,83
Athens,ATHENS 2-1,AAG,921,535,314
Athens,ATHENS 2-2,AAH,319,226,53
Athens,ATHENS 2-3,AAI,479,330,113
Athens,ATHENS 2-4,AAJ,652,471,138
Athens,ATHENS 3-1,AAK,447,258,144
Athens,ATHENS 3-2,AAL,497,300,160
Athens,ATHENS 3-3,AAM,481,278,167
Athens,ATHENS 3-4,AAN,585,433,117
Athens,ATHENS 3-5,AAP,627,516,64
Athens,ATHENS 3-6,AAQ,429,344,57
Athens,ATHENS 4-1,AAS,556,397,114
Athens,ATHENS 4-2,AAU,474,383,58
Athens,ATHENS 4-3,AAV,433,312,82
Athens,ATHENS 4-4,AAW,435,294,104
Athens,NELSONVILLE 1,AAX,374,165,182
Athens,NELSONVILLE 2,AAZ,278,123,127
Athens,NELSONVILLE 3,ABB,370,162,165
Athens,NELSONVILLE 4,ABD,429,193,192
Athens,ALEXANDER EAST,ABF,880,333,489
Athens,ALEXANDER WEST,ABG,533,261,225
Athens,AMES TOWNSHIP,ABH,575,304,212
Athens,AMESVILLE VLG,ABI,90,47,29
Athens,ATHENS BAKER,ABJ,971,545,347
Athens,ATHENS EAST,ABK,348,236,86
Athens,ATHENS SOUTH,ABL,661,417,185
Athens,PLAINS 1,ABM,620,333,233
Athens,PLAINS 2,ABN,810,446,300
Athens,BERN TOWNSHIP,ABO,270,146,108
Athens,CANAAN TOWNSHIP,ABP,789,488,254
Athens,CARTHAGE TOWNSHIP,ABR,711,169,510
Athens,CHAUNCEY VLG,ABS,327,141,161
Athens,CIRCLE HILL,ABT,433,250,156
Athens,MILLFIELD,ABU,454,199,225
Athens,SUGAR CREEK,ABV,284,167,90
Athens,ALBANY VILLAGE,ABW,442,167,236
Athens,LEE TOWNSHIP,ABX,"1,075",393,609
Athens,LODI TOWNSHIP,ABY,744,322,373
Athens,ROME TOWNSHIP,ABZ,601,251,316
Athens,JACKSONVILLE,ACB,213,117,88
Athens,TRIMBLE TOWNSHIP,ACC,737,292,388
Athens,TRIMBLE VILLAGE,ACD,124,48,64
Athens,GLOUSTER VILLAGE,ACE,605,282,283
Athens,COOLVILLE VILLAGE,ACI,194,49,137
Athens,TROY EAST,ACJ,574,146,399
Athens,TROY WEST,ACK,364,54,288
Athens,NEW MARSHFIELD,ACL,538,287,197
Athens,WATERLOO,ACM,572,254,268
Athens,BUCHTEL VLG,ACO,246,117,113
Athens,YORK TOWNSHIP,ACP,810,321,443
Athens,ATHENS 2-5,ACR,694,437,211
Athens,ATHENS 4-5,ACS,912,573,254
Auglaize,PRECINCT ST. MARYS 1A,AAA,631,121,467
Auglaize,PRECINCT ST. MARYS 1B,AAB,410,84,301
Auglaize,PRECINCT ST. MARYS 2A,AAC,509,126,351
Auglaize,PRECINCT ST. MARYS 2B,AAD,806,198,566
Auglaize,PRECINCT ST. MARYS 3A,AAE,772,157,573
Auglaize,PRECINCT ST. MARYS 4A,AAF,520,115,371
Auglaize,PRECINCT WAPAKONETA 1A,AAG,888,171,649
Auglaize,PRECINCT WAPAKONETA 1B,AAH,784,181,569
Auglaize,PRECINCT WAPAKONETA 2A,AAI,427,91,302
Auglaize,PRECINCT WAPAKONETA 2B,AAJ,577,120,422
Auglaize,PRECINCT WAPAKONETA 3A,AAK,373,77,267
Auglaize,PRECINCT WAPAKONETA 3B,AAL,435,83,323
Auglaize,PRECINCT WAPAKONETA 4A,AAM,340,73,241
Auglaize,PRECINCT WAPAKONETA 4B,AAN,709,122,544
Auglaize,PRECINCT CLAY,AAO,447,55,370
Auglaize,PRECINCT DUCHOUQUET E,AAP,883,119,718
Auglaize,PRECINCT DUCHOUQUET W,AAR,718,143,532
Auglaize,PRECINCT CRIDERS E,AAS,353,78,257
Auglaize,PRECINCT GERMAN,AAU,505,54,427
Auglaize,PRECINCT NEW BREMEN E,AAV,"1,064",171,827
Auglaize,PRECINCT NEW BREMEN W,AAW,682,106,522
Auglaize,PRECINCT GOSHEN,AAX,279,34,222
Auglaize,PRECINCT JACKSON,AAY,541,47,467
Auglaize,PRECINCT MINSTER N,AAZ,933,152,746
Auglaize,PRECINCT MINSTER S,ABA,848,108,688
Auglaize,PRECINCT BUCKLAND,ABB,121,26,89
Auglaize,PRECINCT LOGAN,ABC,544,61,466
Auglaize,PRECINCT MOULTON,ABD,"1,025",126,854
Auglaize,PRECINCT NOBLE,ABF,735,93,616
Auglaize,PRECINCT PUSHETA,ABG,753,89,632
Auglaize,PRECINCT ST. MARYS E,ABH,871,134,679
Auglaize,PRECINCT ST. MARYS W,ABJ,880,195,638
Auglaize,PRECINCT SALEM,ABK,253,22,213
Auglaize,PRECINCT UNION,ABL,"1,031",143,825
Auglaize,PRECINCT NEW KNOXVILLE,ABN,467,54,393
Auglaize,PRECINCT WASHINGTON,ABO,619,53,535
Auglaize,PRECINCT WAYNE,ABP,442,35,377
Auglaize,PRECINCT WAYNESFIELD,ABQ,309,44,243
Auglaize,PRECINCT CRIDERS W,ABR,535,119,376
Belmont,PRECINCT BELLAIRE VILLAGE 1,AAA,609,193,377
Belmont,PRECINCT BELLAIRE VILLAGE 2,AAB,439,171,231
Belmont,PRECINCT BELLAIRE VILLAGE 3,AAE,394,155,202
Belmont,PRECINCT MARTINS FERRY 1-A,AAF,753,268,433
Belmont,PRECINCT MARTINS FERRY 2-A,AAH,706,265,398
Belmont,PRECINCT MARTINS FERRY 3-A,AAJ,187,71,99
Belmont,PRECINCT MARTINS FERRY 3-B,AAK,350,115,214
Belmont,PRECINCT MARTINS FERRY 4-A,AAL,538,226,278
Belmont,PRECINCT ST CLAIRSVILLE 1-A,AAN,531,150,355
Belmont,PRECINCT ST CLAIRSVILLE 2-A,AAO,373,129,223
Belmont,PRECINCT ST CLAIRSVILLE 2-B,AAP,599,164,398
Belmont,PRECINCT ST CLAIRSVILLE 3-A,AAQ,346,116,210
Belmont,PRECINCT ST CLAIRSVILLE 3-B,AAR,429,132,259
Belmont,PRECINCT ST CLAIRSVILLE 4-A,AAS,333,102,199
Belmont,PRECINCT ST CLAIRSVILLE 4-B,AAT,357,112,218
Belmont,PRECINCT COLERAIN TWP 2,AAU,244,51,175
Belmont,PRECINCT COLERAIN TWP 1,AAV,223,48,165
Belmont,PRECINCT COLERAIN TWP 3,AAW,664,161,471
Belmont,PRECINCT COLERAIN TWP 4,AAX,392,115,263
Belmont,PRECINCT COLERAIN TWP 5,AAY,384,97,263
Belmont,PRECINCT COLERAIN TWP 6,AAZ,303,86,201
Belmont,PRECINCT FLUSHING VILLAGE,ABA,400,112,262
Belmont,PRECINCT HOLLOWAY VILLAGE,ABB,129,38,85
Belmont,PRECINCT FLUSHING TWP 1,ABC,266,63,194
Belmont,PRECINCT BELMONT VILLAGE,ABD,220,61,148
Belmont,PRECINCT BETHESDA VILLAGE,ABE,544,122,386
Belmont,PRECINCT GOSHEN TWP,ABF,709,112,564
Belmont,PRECINCT KIRKWOOD TWP,ABG,165,32,128
Belmont,PRECINCT SHADYSIDE VILLAGE 1,ABH,579,195,346
Belmont,PRECINCT SHADYSIDE VILLAGE 2,ABI,729,238,442
Belmont,PRECINCT SHADYSIDE VILLAGE 3,ABL,551,184,330
Belmont,PRECINCT MEAD TWP DILLIES,ABN,717,184,487
Belmont,PRECINCT MEAD TWP MEAD SHADYSIDE,ABP,406,114,274
Belmont,PRECINCT BRIDGEPORT VILLAGE 1,ABQ,374,123,222
Belmont,PRECINCT BRIDGEPORT VILLAGE 2,ABS,344,104,209
Belmont,PRECINCT BROOKSIDE VILLAGE,ABU,282,90,169
Belmont,PRECINCT PEASE TWP BLAINE WOLFHURST,ABV,636,218,363
Belmont,PRECINCT PEASE TWP BOYDSVILLE,ABW,524,174,320
Belmont,PRECINCT PEASE TWP SUNSET HTS,ABX,223,57,153
Belmont,PRECINCT YORKVILLE VILLAGE,ABY,187,66,113
Belmont,PRECINCT PEASE TWP 1,ABZ,416,110,286
Belmont,PRECINCT PULTNEY TWP AVONDALE,ACD,196,53,139
Belmont,PRECINCT PULTNEY TWP 4 NEFFS,ACE,761,243,465
Belmont,PRECINCT PULTNEY TWP 1,ACF,622,172,413
Belmont,PRECINCT PULTNEY TWP 2,ACH,626,178,411
Belmont,PRECINCT RICHLAND TWP 1 BANNOCK,ACJ,489,110,357
Belmont,PRECINCT RICHLAND TWP 2,ACK,625,155,445
Belmont,PRECINCT RICHLAND TWP 3,ACL,466,144,298
Belmont,PRECINCT RICHLAND TWP 4 LLOYDSVILLE,ACM,616,111,470
Belmont,PRECINCT RICHLAND TWP 5,ACN,645,150,465
Belmont,PRECINCT RICHLAND TWP 6,ACO,740,186,507
Belmont,PRECINCT RICHLAND TWP 7 GLENCOE,ACP,393,90,277
Belmont,PRECINCT SMITH TWP CENTERVILLE WARNOCK,ACQ,766,131,599
Belmont,PRECINCT SOMERSET TWP SOMERTON,ACS,350,65,264
Belmont,PRECINCT SOMERSET TWP TEMPERANCEVILLE,ACT,176,33,130
Belmont,PRECINCT MORRISTOWN VILLAGE,ACU,123,27,86
Belmont,PRECINCT UNION TWP LAFFERTY,ACV,305,75,208
Belmont,PRECINCT UNION TWP,ACW,824,149,631
Belmont,PRECINCT BARNESVILLE VILLAGE 1,ACX,857,239,570
Belmont,PRECINCT BARNESVILLE VILLAGE 2,ACZ,513,139,339
Belmont,PRECINCT WARREN TWP,ADB,932,227,647
Belmont,PRECINCT WASHINGTON TWP,ADD,283,64,205
Belmont,PRECINCT WAYNE TWP,ADE,369,65,281
Belmont,PRECINCT WHEELING TWP FAIRPOINT,ADF,433,100,302
Belmont,PRECINCT WHEELING TWP UNIONTOWN,ADH,419,75,323
Belmont,PRECINCT POWHATAN POINT VILLAGE,ADI,668,207,413
Belmont,PRECINCT YORK TWP,ADK,468,96,349
Belmont,PRECINCT FLUSHING TWP 2,ADL,58,11,42
Belmont,PRECINCT PEASE TWP 2,ADW,156,69,82
Belmont,PRECINCT BARNESVILLE VILLAGE 3,ADX,414,97,277
Brown,BYRD TWP,AAA,357,75,262
Brown,FRANKLIN TWP,AAF,831,163,626
Brown,GREEN TWP NORTH,AAG,336,69,257
Brown,GREEN TWP SOUTH,AAH,474,83,373
Brown,MT ORAB SOUTH,AAJ,936,206,702
Brown,ABERDEEN VILLAGE,AAK,623,138,452
Brown,HUNTINGTON TWP,AAM,413,66,324
Brown,PERRY / LAKE LORELEI,AAV,641,143,468
Brown,PERRY TWP SOUTH,AAW,552,98,433
Brown,PERRY TWP WEST,AAY,616,107,484
Brown,GEORGETOWN SW,ABI,472,122,317
Brown,SARDINIA VILLAGE,ABP,328,86,218
Brown,CLARK HAMERSVILLE,ACD,604,110,468
Brown,CLARK TWP WEST,ACE,625,122,477
Brown,EAGLE TWP,ACF,585,103,454
Brown,MT ORAB NORTH,ACG,706,157,511
Brown,JACKSON TWP,ACH,876,195,635
Brown,JEFFERSON RUSS,ACI,670,162,467
Brown,LEWIS TWP NORTH,ACJ,811,181,594
Brown,LEWIS/HIGGINSPORT,ACK,355,73,267
Brown,PERRY TWP-VILLAGES,ACL,605,133,439
Brown,PIKE TWP EAST,ACM,615,140,455
Brown,PIKE TWP WEST,ACN,573,113,431
Brown,GEORGETOWN EAST,ACO,645,174,423
Brown,GEORGETOWN NORTH,ACP,655,157,459
Brown,PLEASANT TWP,ACQ,718,162,516
Brown,SCOTT TWP,ACR,638,126,493
Brown,STERLING TWP NORTH,ACS,906,160,712
Brown,STERLING TWP SOUTH,ACT,686,146,507
Brown,RIPLEY VILLAGE,ACU,703,228,436
Brown,UNION TWP,ACV,595,178,390
Brown,WASHINGTON TWP,ACW,739,177,523
Butler,FAIR2WD1,AAB,758,354,366
Butler,FAIR11WD3,AAC,657,196,411
Butler,FAIR4WD1,AAD,471,231,215
Butler,FAIR5WD1,AAE,396,191,176
Butler,FAIR6WD1,AAF,573,370,160
Butler,FAIR7WD1,AAG,511,212,278
Butler,FAIR8WD1,AAH,423,247,149
Butler,FAIR9WD1,AAI,423,158,220
Butler,FAIR3WD1,AAK,596,312,241
Butler,FAIR1WD2,AAL,586,170,388
Butler,FAIR2WD2,AAM,547,148,365
Butler,FAIR3WD2,AAN,525,217,287
Butler,FAIR4WD2,AAO,460,253,169
Butler,FAIR5WD2,AAP,531,179,313
Butler,FAIR6WD2,AAQ,556,179,335
Butler,FAIR7WD2,AAR,596,336,213
Butler,FAIR8WD2,AAS,295,159,108
Butler,FAIR1WD3,AAT,504,162,306
Butler,FAIR2WD3,AAU,571,248,283
Butler,FAIR3WD3,AAV,515,137,326
Butler,FAIR4WD3,AAW,529,166,320
Butler,FAIR5WD3,AAX,619,214,359
