Block,Total,White,Black,Asian,Hispanic
"Block 1055, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1056, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1057, Block Group 1, Census Tract 9535, Gallia County, Ohio",7,7,0,0,0
"Block 1058, Block Group 1, Census Tract 9535, Gallia County, Ohio",1,1,0,0,0
"Block 1059, Block Group 1, Census Tract 9535, Gallia County, Ohio",12,12,0,0,0
"Block 1060, Block Group 1, Census Tract 9535, Gallia County, Ohio",2,2,0,0,0
"Block 1061, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1062, Block Group 1, Census Tract 9535, Gallia County, Ohio",3,1,0,0,0
"Block 1063, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1064, Block Group 1, Census Tract 9535, Gallia County, Ohio",14,14,0,0,0
"Block 1065, Block Group 1, Census Tract 9535, Gallia County, Ohio",6,6,0,0,0
"Block 1066, Block Group 1, Census Tract 9535, Gallia County, Ohio",6,6,0,0,0
"Block 1067, Block Group 1, Census Tract 9535, Gallia County, Ohio",9,9,0,0,0
"Block 1068, Block Group 1, Census Tract 9535, Gallia County, Ohio",10,10,0,0,0
"Block 1069, Block Group 1, Census Tract 9535, Gallia County, Ohio",3,2,0,0,0
"Block 1070, Block Group 1, Census Tract 9535, Gallia County, Ohio",5,5,0,0,0
"Block 1071, Block Group 1, Census Tract 9535, Gallia County, Ohio",4,4,0,0,0
"Block 1072, Block Group 1, Census Tract 9535, Gallia County, Ohio",13,8,5,0,0
"Block 1073, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1074, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1075, Block Group 1, Census Tract 9535, Gallia County, Ohio",1,1,0,0,0
"Block 1076, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1077, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1078, Block Group 1, Census Tract 9535, Gallia County, Ohio",1,1,0,0,0
"Block 1079, Block Group 1, Census Tract 9535, Gallia County, Ohio",1,1,0,0,0
"Block 1080, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1081, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1082, Block Group 1, Census Tract 9535, Gallia County, Ohio",1,1,0,0,0
"Block 1083, Block Group 1, Census Tract 9535, Gallia County, Ohio",20,18,0,0,0
"Block 1084, Block Group 1, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 1085, Block Group 1, Census Tract 9535, Gallia County, Ohio",8,8,0,0,0
"Block 1086, Block Group 1, Census Tract 9535, Gallia County, Ohio",5,5,0,0,0
"Block 1087, Block Group 1, Census Tract 9535, Gallia County, Ohio",24,24,0,0,0
"Block 1088, Block Group 1, Census Tract 9535, Gallia County, Ohio",6,6,0,0,0
"Block 1089, Block Group 1, Census Tract 9535, Gallia County, Ohio",4,4,0,0,0
"Block 2000, Block Group 2, Census Tract 9535, Gallia County, Ohio",44,44,0,0,0
"Block 2001, Block Group 2, Census Tract 9535, Gallia County, Ohio",23,23,0,0,0
"Block 2002, Block Group 2, Census Tract 9535, Gallia County, Ohio",28,26,0,0,0
"Block 2003, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2004, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2005, Block Group 2, Census Tract 9535, Gallia County, Ohio",26,26,0,0,0
"Block 2006, Block Group 2, Census Tract 9535, Gallia County, Ohio",10,10,0,0,0
"Block 2007, Block Group 2, Census Tract 9535, Gallia County, Ohio",27,25,2,0,0
"Block 2008, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2009, Block Group 2, Census Tract 9535, Gallia County, Ohio",1,1,0,0,0
"Block 2010, Block Group 2, Census Tract 9535, Gallia County, Ohio",2,2,0,0,0
"Block 2011, Block Group 2, Census Tract 9535, Gallia County, Ohio",7,7,0,0,0
"Block 2012, Block Group 2, Census Tract 9535, Gallia County, Ohio",52,52,0,0,0
"Block 2013, Block Group 2, Census Tract 9535, Gallia County, Ohio",8,8,0,0,0
"Block 2014, Block Group 2, Census Tract 9535, Gallia County, Ohio",40,38,1,0,0
"Block 2015, Block Group 2, Census Tract 9535, Gallia County, Ohio",54,54,0,0,0
"Block 2016, Block Group 2, Census Tract 9535, Gallia County, Ohio",1,1,0,0,0
"Block 2017, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2018, Block Group 2, Census Tract 9535, Gallia County, Ohio",26,26,0,0,0
"Block 2019, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2020, Block Group 2, Census Tract 9535, Gallia County, Ohio",9,9,0,0,0
"Block 2021, Block Group 2, Census Tract 9535, Gallia County, Ohio",22,22,0,0,0
"Block 2022, Block Group 2, Census Tract 9535, Gallia County, Ohio",2,2,0,0,0
"Block 2023, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2024, Block Group 2, Census Tract 9535, Gallia County, Ohio",13,13,0,0,0
"Block 2025, Block Group 2, Census Tract 9535, Gallia County, Ohio",2,2,0,0,0
"Block 2026, Block Group 2, Census Tract 9535, Gallia County, Ohio",6,6,0,0,0
"Block 2027, Block Group 2, Census Tract 9535, Gallia County, Ohio",4,4,0,0,0
"Block 2028, Block Group 2, Census Tract 9535, Gallia County, Ohio",21,21,0,0,0
"Block 2029, Block Group 2, Census Tract 9535, Gallia County, Ohio",14,14,0,0,0
"Block 2030, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2031, Block Group 2, Census Tract 9535, Gallia County, Ohio",5,5,0,0,0
"Block 2032, Block Group 2, Census Tract 9535, Gallia County, Ohio",9,9,0,0,0
"Block 2033, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2034, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2035, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2036, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2037, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2038, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2039, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2040, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2041, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2042, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2043, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2044, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2045, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2046, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2047, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2048, Block Group 2, Census Tract 9535, Gallia County, Ohio",25,24,1,0,0
"Block 2049, Block Group 2, Census Tract 9535, Gallia County, Ohio",69,68,0,0,1
"Block 2050, Block Group 2, Census Tract 9535, Gallia County, Ohio",27,25,0,0,2
"Block 2051, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2052, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2053, Block Group 2, Census Tract 9535, Gallia County, Ohio",6,6,0,0,0
"Block 2054, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2055, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2056, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2057, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2058, Block Group 2, Census Tract 9535, Gallia County, Ohio",1,1,0,0,0
"Block 2059, Block Group 2, Census Tract 9535, Gallia County, Ohio",1,0,1,0,0
"Block 2060, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2061, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2062, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2063, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2064, Block Group 2, Census Tract 9535, Gallia County, Ohio",2,1,0,0,0
"Block 2065, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2066, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2067, Block Group 2, Census Tract 9535, Gallia County, Ohio",3,3,0,0,0
"Block 2068, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2069, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2070, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2071, Block Group 2, Census Tract 9535, Gallia County, Ohio",2,2,0,0,0
"Block 2072, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2073, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2074, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2075, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2076, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2077, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2078, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2079, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2080, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2081, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2082, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2083, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2084, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2085, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2086, Block Group 2, Census Tract 9535, Gallia County, Ohio",4,2,1,0,0
"Block 2087, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2088, Block Group 2, Census Tract 9535, Gallia County, Ohio",37,37,0,0,0
"Block 2089, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2090, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2091, Block Group 2, Census Tract 9535, Gallia County, Ohio",5,4,0,0,0
"Block 2092, Block Group 2, Census Tract 9535, Gallia County, Ohio",85,85,0,0,0
"Block 2093, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2094, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2095, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2096, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2097, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2098, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2099, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2100, Block Group 2, Census Tract 9535, Gallia County, Ohio",4,4,0,0,0
"Block 2101, Block Group 2, Census Tract 9535, Gallia County, Ohio",1,1,0,0,0
"Block 2102, Block Group 2, Census Tract 9535, Gallia County, Ohio",12,12,0,0,0
"Block 2103, Block Group 2, Census Tract 9535, Gallia County, Ohio",1,1,0,0,0
"Block 2104, Block Group 2, Census Tract 9535, Gallia County, Ohio",11,11,0,0,0
"Block 2105, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2106, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2107, Block Group 2, Census Tract 9535, Gallia County, Ohio",17,16,1,0,0
"Block 2108, Block Group 2, Census Tract 9535, Gallia County, Ohio",1,1,0,0,0
"Block 2109, Block Group 2, Census Tract 9535, Gallia County, Ohio",29,29,0,0,0
"Block 2110, Block Group 2, Census Tract 9535, Gallia County, Ohio",9,9,0,0,0
"Block 2111, Block Group 2, Census Tract 9535, Gallia County, Ohio",15,15,0,0,0
"Block 2112, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2113, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2114, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2115, Block Group 2, Census Tract 9535, Gallia County, Ohio",7,7,0,0,0
"Block 2116, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2117, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2118, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2119, Block Group 2, Census Tract 9535, Gallia County, Ohio",3,3,0,0,0
"Block 2120, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2121, Block Group 2, Census Tract 9535, Gallia County, Ohio",18,18,0,0,0
"Block 2122, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2123, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 2124, Block Group 2, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3000, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3001, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3002, Block Group 3, Census Tract 9535, Gallia County, Ohio",6,5,0,0,0
"Block 3003, Block Group 3, Census Tract 9535, Gallia County, Ohio",25,22,0,0,0
"Block 3004, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3005, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3006, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3007, Block Group 3, Census Tract 9535, Gallia County, Ohio",10,10,0,0,0
"Block 3008, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3009, Block Group 3, Census Tract 9535, Gallia County, Ohio",3,3,0,0,0
"Block 3010, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3011, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3012, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3013, Block Group 3, Census Tract 9535, Gallia County, Ohio",160,157,0,2,0
"Block 3014, Block Group 3, Census Tract 9535, Gallia County, Ohio",28,28,0,0,0
"Block 3015, Block Group 3, Census Tract 9535, Gallia County, Ohio",13,13,0,0,0
"Block 3016, Block Group 3, Census Tract 9535, Gallia County, Ohio",20,20,0,0,0
"Block 3017, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3018, Block Group 3, Census Tract 9535, Gallia County, Ohio",2,2,0,0,0
"Block 3019, Block Group 3, Census Tract 9535, Gallia County, Ohio",5,0,0,0,1
"Block 3020, Block Group 3, Census Tract 9535, Gallia County, Ohio",5,5,0,0,0
"Block 3021, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3022, Block Group 3, Census Tract 9535, Gallia County, Ohio",42,42,0,0,0
"Block 3023, Block Group 3, Census Tract 9535, Gallia County, Ohio",18,18,0,0,0
"Block 3024, Block Group 3, Census Tract 9535, Gallia County, Ohio",6,6,0,0,0
"Block 3025, Block Group 3, Census Tract 9535, Gallia County, Ohio",45,44,0,0,0
"Block 3026, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3027, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3028, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3029, Block Group 3, Census Tract 9535, Gallia County, Ohio",129,127,0,0,0
"Block 3030, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3031, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3032, Block Group 3, Census Tract 9535, Gallia County, Ohio",22,22,0,0,0
"Block 3033, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3034, Block Group 3, Census Tract 9535, Gallia County, Ohio",4,4,0,0,0
"Block 3035, Block Group 3, Census Tract 9535, Gallia County, Ohio",2,2,0,0,0
"Block 3036, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3037, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3038, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3039, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3040, Block Group 3, Census Tract 9535, Gallia County, Ohio",84,84,0,0,0
"Block 3041, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3042, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3043, Block Group 3, Census Tract 9535, Gallia County, Ohio",40,38,2,0,0
"Block 3044, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3045, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3046, Block Group 3, Census Tract 9535, Gallia County, Ohio",55,54,0,1,0
"Block 3047, Block Group 3, Census Tract 9535, Gallia County, Ohio",29,29,0,0,0
"Block 3048, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3049, Block Group 3, Census Tract 9535, Gallia County, Ohio",8,8,0,0,0
"Block 3050, Block Group 3, Census Tract 9535, Gallia County, Ohio",76,76,0,0,0
"Block 3051, Block Group 3, Census Tract 9535, Gallia County, Ohio",1,1,0,0,0
"Block 3052, Block Group 3, Census Tract 9535, Gallia County, Ohio",1,1,0,0,0
"Block 3053, Block Group 3, Census Tract 9535, Gallia County, Ohio",25,25,0,0,0
"Block 3054, Block Group 3, Census Tract 9535, Gallia County, Ohio",16,16,0,0,0
"Block 3055, Block Group 3, Census Tract 9535, Gallia County, Ohio",6,6,0,0,0
"Block 3056, Block Group 3, Census Tract 9535, Gallia County, Ohio",28,25,0,0,0
"Block 3057, Block Group 3, Census Tract 9535, Gallia County, Ohio",20,20,0,0,0
"Block 3058, Block Group 3, Census Tract 9535, Gallia County, Ohio",10,10,0,0,0
"Block 3059, Block Group 3, Census Tract 9535, Gallia County, Ohio",8,8,0,0,0
"Block 3060, Block Group 3, Census Tract 9535, Gallia County, Ohio",13,13,0,0,0
"Block 3061, Block Group 3, Census Tract 9535, Gallia County, Ohio",7,7,0,0,0
"Block 3062, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3063, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3064, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 3065, Block Group 3, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 4000, Block Group 4, Census Tract 9535, Gallia County, Ohio",1,1,0,0,0
"Block 4001, Block Group 4, Census Tract 9535, Gallia County, Ohio",54,53,1,0,0
"Block 4002, Block Group 4, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 4003, Block Group 4, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 4004, Block Group 4, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 4005, Block Group 4, Census Tract 9535, Gallia County, Ohio",4,4,0,0,0
"Block 4006, Block Group 4, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 4007, Block Group 4, Census Tract 9535, Gallia County, Ohio",80,75,2,0,0
"Block 4008, Block Group 4, Census Tract 9535, Gallia County, Ohio",41,41,0,0,0
"Block 4009, Block Group 4, Census Tract 9535, Gallia County, Ohio",6,6,0,0,0
"Block 4010, Block Group 4, Census Tract 9535, Gallia County, Ohio",6,6,0,0,0
"Block 4011, Block Group 4, Census Tract 9535, Gallia County, Ohio",46,40,0,0,0
"Block 4012, Block Group 4, Census Tract 9535, Gallia County, Ohio",112,112,0,0,0
"Block 4013, Block Group 4, Census Tract 9535, Gallia County, Ohio",34,32,2,0,0
"Block 4014, Block Group 4, Census Tract 9535, Gallia County, Ohio",7,7,0,0,0
"Block 4015, Block Group 4, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 4016, Block Group 4, Census Tract 9535, Gallia County, Ohio",10,10,0,0,0
"Block 4017, Block Group 4, Census Tract 9535, Gallia County, Ohio",153,137,16,0,0
"Block 4018, Block Group 4, Census Tract 9535, Gallia County, Ohio",3,3,0,0,0
"Block 4019, Block Group 4, Census Tract 9535, Gallia County, Ohio",38,31,3,0,0
"Block 4020, Block Group 4, Census Tract 9535, Gallia County, Ohio",42,29,10,0,0
"Block 4021, Block Group 4, Census Tract 9535, Gallia County, Ohio",15,12,3,0,0
"Block 4022, Block Group 4, Census Tract 9535, Gallia County, Ohio",251,222,18,0,1
"Block 4023, Block Group 4, Census Tract 9535, Gallia County, Ohio",31,31,0,0,0
"Block 4024, Block Group 4, Census Tract 9535, Gallia County, Ohio",5,5,0,0,0
"Block 4025, Block Group 4, Census Tract 9535, Gallia County, Ohio",4,4,0,0,0
"Block 4026, Block Group 4, Census Tract 9535, Gallia County, Ohio",37,31,3,0,0
"Block 4027, Block Group 4, Census Tract 9535, Gallia County, Ohio",8,8,0,0,0
"Block 4028, Block Group 4, Census Tract 9535, Gallia County, Ohio",31,31,0,0,0
"Block 4029, Block Group 4, Census Tract 9535, Gallia County, Ohio",0,0,0,0,0
"Block 4030, Block Group 4, Census Tract 9535, Gallia County, Ohio",2,2,0,0,0
"Block 4031, Block Group 4, Census Tract 9535, Gallia County, Ohio",5,2,3,0,0
"Block 4032, Block Group 4, Census Tract 9535, Gallia County, Ohio",20,11,9,0,0
"Block 4033, Block Group 4, Census Tract 9535, Gallia County, Ohio",8,7,1,0,0
"Block 4034, Block Group 4, Census Tract 9535, Gallia County, Ohio",18,16,2,0,0
"Block 4035, Block Group 4, Census Tract 9535, Gallia County, Ohio",6,1,1,0,0
